"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
1.206657114E-001  7.101849245E-001  7.101737171E-001  7.101961318E-001  5.646518999E-002  7.099283710E-001  7.106161478E-001  7.100203385E-001  5.642611106E-002  5.651086481E-002  6.742727459E-003  4.532744227E+001  3.627055170E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1206460   0.0064    0.1206432   0.0062  39  40
"" "87/86 Avg exp corr"    0.7102491   0.0018    0.7102495   0.0016  38  40
"" "87/86 S 1-2 exp corr"    0.7102443   0.0020    0.7102432   0.0018  38  40
"" "87/86 S 2-3 exp corr"    0.7102540   0.0023    0.7102672   0.0019  38  40
"" "84/86 Dyn exp corr"    0.0565776   0.0558    0.0565289   0.0415  36  40
"" "Stat 87/86 S-1 exp"    0.7099783   0.0028    0.7099677   0.0021  37  40
"" "Stat 87/86 S-2 exp"    0.7107126   0.0026    0.7107280   0.0022  38  40
"" "Stat 87/86 S-3 exp"    0.7106194   0.0252    0.7103846   0.0184  37  40
"" "Stat 84/86 exp corr"    0.0564454   0.0195    0.0564491   0.0188  39  40
"" "Dyn 84/86 power law"    0.0566240   0.0552    0.0565875   0.0448  37  40
"" "Dyn 84/88 power law"    0.0067451   0.0192    0.0067456   0.0184  39  40
"" "87Rb ppm L2-S2"  135.5484421  11.7089  115.2039843  10.1561  37  40
"" "88Sr volts S-3"    3.1592091   1.6526    3.1592091   1.6526  40  40

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.876686E-004 1.552105E-004 3.597736E-004 -4.687309E-004 -2.946854E-004 3.931522E-004 -3.646612E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
5 "86/88 Scan 2"    0.1206425   0.0023    0.1206425   0.0023  10  10
5 "87/86 Avg exp corr"    0.7102623   0.0023    0.7102623   0.0023  10  10
5 "87/86 S 1-2 exp corr"    0.7102491   0.0023    0.7102491   0.0023  10  10
5 "87/86 S 2-3 exp corr"    0.7102756   0.0029    0.7102756   0.0029  10  10
5 "84/86 Dyn exp corr"    0.0564661   0.0269    0.0564661   0.0269  10  10
5 "Stat 87/86 S-1 exp"    0.7100096   0.0031    0.7100096   0.0031  10  10
