"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    7 January 1980"
"Time:                   17:22:19"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0D1.DAT"
"Level: Cycle Data"
"Data Starts Here"
1.204114005E-001  7.103229982E-001  7.102789981E-001  7.103669983E-001  5.648501592E-002  7.101048293E-001  7.107363733E-001  7.100897361E-001  5.647028706E-002  5.654185902E-002  6.749337572E-003  1.731096544E+001  2.912048103E+000
1.204481889E-001  7.102642314E-001  7.102709375E-001  7.102575252E-001  5.641490246E-002  7.099402569E-001  7.108324239E-001  7.098671578E-001  5.638543802E-002  5.646359085E-002  6.738231658E-003  1.102720291E+001  2.919707061E+000
1.204433368E-001  7.102160354E-001  7.102462160E-001  7.101858549E-001  5.656844884E-002  7.100196525E-001  7.105876278E-001  7.099946982E-001  5.653468583E-002  5.659846848E-002  6.753823695E-003 -1.835204161E+000  2.924691678E+000
1.204510589E-001  7.102671269E-001  7.102718387E-001  7.102624151E-001  5.644568543E-002  7.100923985E-001  7.106243493E-001  7.100159582E-001  5.642722280E-002  5.648513199E-002  6.742118781E-003 -2.387503107E+001  2.919751169E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1204505   0.0015    0.1204507   0.0013  48  50
"" "87/86 Avg exp corr"    0.7102888   0.0011    0.7102889   0.0010  48  50
"" "87/86 S 1-2 exp corr"    0.7102806   0.0016    0.7102806   0.0016  50  50
"" "87/86 S 2-3 exp corr"    0.7102970   0.0013    0.7102963   0.0010  46  50
"" "84/86 Dyn exp corr"    0.0564728   0.0164    0.0564666   0.0152  48  50
"" "Stat 87/86 S-1 exp"    0.7100579   0.0024    0.7100536   0.0020  47  50
"" "Stat 87/86 S-2 exp"    0.7106769   0.0019    0.7106771   0.0017  48  50
"" "Stat 87/86 S-3 exp"    0.7100623   0.0023    0.7100628   0.0022  48  50
"" "Stat 84/86 exp corr"    0.0564496   0.0168    0.0564463   0.0150  47  50
"" "Dyn 84/86 power law"    0.0565123   0.0156    0.0565065   0.0144  48  50
